state          dE(eV)       f        Om       POS        PR        CT       COH      CTnt     PRNTO      Z_HE
--------------------------------------------------------------------------------------------------------------
1(2)A       2.128730         -  1.000000  1.487148  1.986311  0.473651  1.980914  0.079040         -  1.456526
2(2)A       2.642471         -  1.000000  1.245963  1.544925  0.446807  1.433232 -0.373427         -  1.294031
3(2)A       3.109425         -  1.000000  1.265687  1.522341  0.520252  1.371936  0.487001         -  1.326707
4(2)A       4.126400         -  1.000000  1.630316  1.665958  0.441647  1.612269  0.412154         -  1.905418
5(2)A       4.289321         -  1.000000  1.114114  1.255151  0.114705  1.140582  0.067063         -  1.876761
6(2)A       4.779831         -  1.000000  1.271773  1.496542  0.539804  1.335922  0.537446         -  1.016080
7(2)A       4.849629         -  1.000000  1.005126  1.010319  0.009815  1.009889  0.005186         -  2.044847
8(2)A       5.075009         -  1.000000  1.900260  1.225590  0.193898  1.213624 -0.128043         -  1.924757
9(2)A       5.582417         -  1.000000  1.777303  1.492460  0.439329  1.340240 -0.430027         -  1.610473
10(2)A      5.830530         -  1.000000  1.771451  1.493596  0.455864  1.332294 -0.454347         -  1.027389
