state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1-A1state   0.000      -  0.004  0.004  0.006  0.006
1-B1state   0.000      -  0.008  0.007  0.018  0.018
2-B1state   0.000      -  0.002  0.003  0.012  0.012
1-A1       11.342      -  0.005  0.005  0.001  0.002
1-A1       11.342      -  0.786 -0.040  0.122  0.948
1-B1       13.593      -  0.027  0.004  0.011  0.033
1-B1       13.593      -  0.792  0.110  0.145  0.828
2-B1       14.521      -  0.024  0.006  0.007  0.025
2-B1       14.521      -  0.600 -0.052  0.341  0.993
