state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt
------------------------------------------------------------------
1-A1state   0.000      -  0.009  1.610  1.906  0.915  1.174 -0.031
1-B1state   0.000      -  0.025  1.701  1.721  0.143  1.268  0.008
2-B1state   0.000      -  0.015  1.831  1.390 -0.062  0.915 -0.007
1-A1       11.342      -  0.006  1.250  1.600  0.173  1.294  0.051
1-A1       11.342      -  0.908  1.589  1.110  0.909  1.064  0.910
1-B1       13.593      -  0.037  1.587  1.481  0.645  1.462  0.593
1-B1       13.593      -  0.937  1.519  1.307  0.763  1.308  0.729
2-B1       14.521      -  0.031  1.506  1.500  0.622  1.545  0.577
2-B1       14.521      -  0.941  1.709  1.377  0.674  1.195  0.693
