   eV     spectrum    DOS     nm
 2.500000 0.018796 0.001090 495.936962
 2.560000 0.043753 0.002555 484.313440
 2.620000 0.094229 0.005546 473.222292
 2.680000 0.187801 0.011145 462.627763
 2.740000 0.346449 0.020745 452.497228
 2.800000 0.591709 0.035778 442.800859
 2.860000 0.935841 0.057184 433.511331
 2.920000 1.370946 0.084728 424.603563
 2.980000 1.860633 0.116432 416.054498
 3.040000 2.340030 0.148496 407.842896
 3.100000 2.727738 0.176000 399.949163
 3.160000 2.947927 0.194327 392.355192
 3.220000 2.954704 0.200855 385.044225
 3.280000 2.748176 0.196173 378.000733
 3.340000 2.374657 0.184188 371.210301
 3.400000 1.910906 0.170940 364.659531
 3.460000 1.439696 0.162509 358.335955
 3.520000 1.027158 0.162865 352.227956
 3.580000 0.709870 0.172528 346.324694
 3.640000 0.493960 0.188582 340.616045
 3.700000 0.363218 0.206035 335.092542
 3.760000 0.290832 0.219925 329.745321
 3.820000 0.249951 0.227233 324.566075
 3.880000 0.220388 0.227789 319.547012
 3.940000 0.190947 0.223806 314.680814
 4.000000 0.158325 0.218389 309.960601
 4.060000 0.124172 0.213820 305.379903
 4.120000 0.091916 0.210466 300.932623
 4.180000 0.064456 0.206753 296.613016
 4.240000 0.043143 0.200062 292.415662
 4.300000 0.027829 0.188019 288.335443
 4.360000 0.017468 0.169572 284.367524
 4.420000 0.010743 0.145435 280.507332
 4.480000 0.006488 0.117837 276.750537
 4.540000 0.003838 0.089762 273.093041
 4.600000 0.002208 0.064052 269.530958
 4.660000 0.001227 0.042694 266.060602
 4.720000 0.000653 0.026521 262.678476
 4.780000 0.000331 0.015325 259.381256
 4.840000 0.000159 0.008225 256.165786
 4.900000 0.000072 0.004095 253.029062
 4.960000 0.000031 0.001889 249.968227
 5.020000 0.000012 0.000807 246.980559
 5.080000 0.000005 0.000319 244.063466
 5.140000 0.000002 0.000117 241.214476
 5.200000 0.000001 0.000039 238.431232
 5.260000 0.000000 0.000012 235.711484
 5.320000 0.000000 0.000004 233.053084
 5.380000 0.000000 0.000001 230.453979
 5.440000 0.000000 0.000000 227.912207
 5.500000 0.000000 0.000000 225.425892
